import time: self [us] | cumulative | imported package
import time:      4836 |       4836 |                         torch.utils.hooks
import time:      5191 |       5191 |                         torch.utils.backend_registration
import time:      1881 |       1881 |                         torch.utils.cpp_backtrace
import time:      1700 |       1700 |                         torch.utils.throughput_benchmark
import time:      3816 |     246237 |                       torch.utils
import time:      2909 |       2909 |                       torchgen
import time:      1934 |       1934 |                           torchgen.code_template
import time:      7797 |       9730 |                         torchgen.utils
import time:     18228 |      27958 |                       torchgen.model
import time:      4726 |     281829 |                     torch.utils._python_dispatch
import time:      7446 |     293897 |                   torch.nn.modules.module
import time:     15421 |      15421 |                           torch.distributed.autograd
import time:      2769 |       2769 |                             torch.futures
import time:      2457 |       2457 |                             torch.distributed.rpc._utils
import time:      1971 |       1971 |                             torch.distributed.rpc.constants
import time:      2092 |       2092 |                             torch.distributed.rpc.internal
import time:      3514 |      12800 |                           torch.distributed.rpc.api
import time:      2567 |       2567 |                           torch.distributed.rpc.backend_registry
import time:      1520 |       1520 |                           torch.distributed.rpc.functions
import time:      1823 |       1823 |                           torch.distributed.rpc.options
import time:        64 |         64 |                                         _csv
import time:       433 |        497 |                                       csv
import time:       185 |        185 |                                       email
import time:       946 |        946 |                                       zipfile
import time:       195 |        195 |                                           quopri
import time:       238 |        238 |                                             email._parseaddr
import time:       125 |        125 |                                               email.base64mime
import time:       229 |        229 |                                               email.quoprimime
import time:       393 |        393 |                                               email.errors
import time:       127 |        127 |                                               email.encoders
import time:       400 |       1272 |                                             email.charset
import time:       621 |       2131 |                                           email.utils
import time:       608 |        608 |                                             email.header
import time:       338 |        945 |                                           email._policybase
import time:       264 |        264 |                                           email._encoded_words
import time:       140 |        140 |                                           email.iterators
import time:       748 |       4421 |                                         email.message
import time:       116 |        116 |                                           importlib.metadata._functools
import time:       204 |        319 |                                         importlib.metadata._text
import time:       358 |       5097 |                                       importlib.metadata._adapters
import time:       264 |        264 |                                       importlib.metadata._meta
import time:       252 |        252 |                                       importlib.metadata._collections
import time:       129 |        129 |                                       importlib.metadata._itertools
import time:       297 |        297 |                                               importlib.resources.abc
import time:       281 |        281 |                                               importlib.resources._adapters
import time:       418 |        996 |                                             importlib.resources._common
import time:       197 |        197 |                                             importlib.resources._legacy
import time:       231 |       1422 |                                           importlib.resources
import time:        52 |       1474 |                                         importlib.resources.abc
import time:       423 |       1897 |                                       importlib.abc
import time:      2636 |      11898 |                                     importlib.metadata
import time:      9395 |      21292 |                                   torch.utils._pytree
import time:      2763 |      24054 |                                 torch._vmap_internals
import time:      1686 |       1686 |                                     torch.utils._contextlib
